light,humidity,date,soilMoisture,battery,pressure,rain,sensorName,temperature,altitude
-1.01,89.56835938,2023-05-24 08:31:19+00:00,1009.0,-1.01,895.3220825,-1.01,sensorOne,19.98999977,1031.632813
-1.01,57.88769531,2023-05-22 02:53:59+00:00,2663.0,-1.01,879.6268921,-1.01,sensorOne,25.95999908,1177.112183
-1.01,-1.01,2023-05-22 01:17:09+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,90.79101563,2023-05-25 02:24:47+00:00,1066.0,-1.01,895.8573608,-1.01,sensorOne,20.82999992,1026.707886
-1.01,49.57617188,2023-05-23 15:47:25+00:00,4095.0,-1.01,896.7520142,-1.01,sensorTwo,45.34000015,1018.481384
-1.01,53.80664063,2023-05-24 18:36:38+00:00,1360.0,-1.01,894.3204956,-1.01,sensorTwo,38.56999969,1040.854614
-1.01,89.43261719,2023-05-24 13:29:36+00:00,1017.0,-1.01,896.1472168,-1.01,sensorOne,19.88999939,1024.041626
0.0,-1.01,2023-05-25 16:08:32+00:00,1168.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-06-05 19:57:54+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
427.5779419,-1.01,2023-05-24 23:12:58+00:00,1166.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,59.15332031,2023-05-22 19:47:17+00:00,2606.0,-1.01,879.2385254,-1.01,sensorOne,28.43000031,1180.73877
0.0,-1.01,2023-05-24 18:15:56+00:00,1200.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,55.31738281,2023-05-21 22:55:51+00:00,1977.0,-1.01,877.6073608,-1.01,sensorOne,25.40999985,1195.983643
32.13637543,-1.01,2023-05-22 23:29:34+00:00,1174.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
